			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Tarcza powietrza	Tarcza powietrza	3	 	 	 	x	5	4	4	7	0	75	75	50	50	7	5	5	5	8	5	5	5	7	20	20	50	50	"{Tarcza powietrza}

Zmniejsza obra¿enia zadawane na odleg³oœæ wybranemu przyjaznemu oddzia³owi o 25%. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Tarcza powietrza}
{Poziom podstawowy}

Zmniejsza obra¿enia zadawane na odleg³oœæ wybranemu przyjaznemu oddzia³owi o 25%. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Tarcza powietrza}
{Poziom zaawansowany}

Zmniejsza obra¿enia zadawane na odleg³oœæ wybranemu przyjaznemu oddzia³owi o 50%. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Tarcza powietrza}
{Poziom eksperta}

Zmniejsza obra¿enia zadawane na odleg³oœæ wszystkim przyjaznym oddzia³om o 50%. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Tarcza ognia	Tarcza ognia	1	 	 	x	 	4	3	3	3	0	20	20	25	30	5	5	10	10	5	10	5	5	5	10	10	12	15	"{Tarcza ognia}

Wybrany oddzia³ zostaje objêty tarcz¹ ognia, która odbija 20% otrzymanych obra¿eñ zadanych w zwarciu. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Tarcza ognia}
{Poziom podstawowy}

Wybrany oddzia³ zostaje objêty tarcz¹ ognia, która odbija 20% otrzymanych obra¿eñ zadanych w zwarciu. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Tarcza ognia}
{Poziom zaawansowany}

Wybrany oddzia³ zostaje objêty tarcz¹ ognia, która odbija 25% otrzymanych obra¿eñ zadanych w zwarciu. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Tarcza ognia}
{Poziom eksperta}

Wybrany oddzia³ zostaje objêty tarcz¹ ognia, która odbija 30% otrzymanych obra¿eñ zadanych w zwarciu. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET
Ochr. przed powiet.	Ochr. powietrze	1		 	 	x	3	2	2	2	0	50	50	25	25	5	5	7	5	5	7	5	5	10	2	2	4	4	"{Ochrona przed powietrzem}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii powietrza. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 50%."	"{Ochrona przed powietrzem}
{Poziom podstawowy}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii powietrza. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 50%."	"{Ochrona przed powietrzem}
{Poziom zaawansowany}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii powietrza. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 75%."	"{Ochrona przed powietrzem}
{Poziom eksperta}

Chroni wszystkie sojusznicze oddzia³y zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii powietrza. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 75%."	 COMBAT_SPELL|CREATURE_TARGET_2
Ochr. przed ogniem	Ochr. ogieñ	1	 		x	 	3	2	2	2	0	50	50	25	25	5	5	7	10	5	7	5	5	10	2	2	4	4	"{Ochrona przed ogniem}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ognia. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 50%."	"{Ochrona przed ogniem}
{Poziom podstawowy}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ognia. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 50%."	"{Ochrona przed ogniem}
{Poziom zaawansowany}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ognia. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 75%."	"{Ochrona przed ogniem}
{Poziom eksperta}

Chroni wszystkie sojusznicze oddzia³y zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ognia. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 75%."	 COMBAT_SPELL|CREATURE_TARGET_2
Ochrona przed wod¹	Ochr. woda	1	 	x		 	3	2	2	2	0	50	50	25	25	5	5	7	5	5	7	5	5	10	2	2	4	4	"{Ochrona przed wod¹}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii wody. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 50%."	"{Ochrona przed wod¹}
{Poziom podstawowy}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii wody. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 50%."	"{Ochrona przed wod¹}
{Poziom zaawansowany}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii wody. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 75%."	"{Ochrona przed wod¹}
{Poziom eksperta}

Chroni wszystkie sojusznicze oddzia³y zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii wody. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 75%."	 COMBAT_SPELL|CREATURE_TARGET_2
Ochrona przed ziemi¹	Ochr. ziemia	1	x	 	 		3	2	2	2	0	50	50	25	25	5	5	7	5	5	7	5	5	10	2	2	4	4	"{Ochrona przed ziemi¹}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ziemi. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 50%."	"{Ochrona przed ziemi¹}
{Poziom podstawowy}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ziemi. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 50%."	"{Ochrona przed ziemi¹}
{Poziom zaawansowany}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ziemi. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 75%."	"{Ochrona przed ziemi¹}
{Poziom eksperta}

Chroni wszystkie sojusznicze oddzia³y zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ziemi. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ wynosi 75%."	 COMBAT_SPELL|CREATURE_TARGET_2
Antymagia	Antymagia	3	x	 	 	 	15	12	12	12	0	4	4	5	6	5	10	5	5	8	2	15	5	5	10	10	15	20	"{Antymagia}

Wybrany sojuszniczy oddzia³ zostaje poddany ochronie przed czarami poziomów 1-3. Czar rozprasza równie¿ wszelkie negatywne efekty magiczne. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Antymagia}
{Poziom podstawowy}

Wybrany sojuszniczy oddzia³ zostaje poddany ochronie przed czarami poziomów 1-3. Czar rozprasza równie¿ wszelkie negatywne efekty magiczne. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Antymagia}
{Poziom zaawansowany}

Wybrany sojuszniczy oddzia³ zostaje poddany ochronie przed czarami poziomów 1-4. Czar rozprasza równie¿ wszelkie negatywne efekty magiczne. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Antymagia}
{Poziom eksperta}

Wybrany sojuszniczy oddzia³ staje siê niepodatny na magiê. Czar rozprasza równie¿ wszelkie negatywne efekty magiczne. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET
Rozproszenie	Rozproszenie	1	 	x	 	 	3	2	2	3	0	0	0	0	0	5	5	7	5	10	5	5	5	5	3	3	3	3	"{Rozproszenie}

Usuwa dzia³anie wszystkich czarów, pod których wp³ywem znajduje siê wybrany sojuszniczy oddzia³.
"	"{Rozproszenie}
{Poziom podstawowy}

Usuwa dzia³anie wszystkich czarów, pod których wp³ywem znajduje siê wybrany sojuszniczy oddzia³.
"	"{Rozproszenie}
{Poziom zaawansowany}

Usuwa dzia³anie wszystkich czarów, pod których wp³ywem znajduje siê wybrany oddzia³.
"	"{Rozproszenie}
{Poziom eksperta}

Usuwa wszystkie efekty wp³ywaj¹ce na wszystkie oddzia³y, a tak¿e na pole bitwy.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Magiczne zwierciad³o	Mag. zwierciad³o	1	 	 	 	x	4	3	3	3	0	40	40	60	80	5	10	5	0	0	7	5	5	5	3	3	4	4	"{Magiczne zwierciad³o}

Wybrany oddzia³ ma 40% szans na odbicie rzuconego przez wroga zaklêcia na losow¹ wrog¹ jednostkê. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Magiczne zwierciad³o}
{Poziom podstawowy}

Wybrany oddzia³ ma 40% szans na odbicie rzuconego przez wroga zaklêcia na losow¹ wrog¹ jednostkê. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Magiczne zwierciad³o}
{Poziom zaawansowany}

Wybrany oddzia³ ma 60% szans na odbicie rzuconego przez wroga zaklêcia na losow¹ wrog¹ jednostkê. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Magiczne zwierciad³o}
{Poziom eksperta}

Wybrany oddzia³ ma 80% szans na odbicie rzuconego przez wroga zaklêcia na losow¹ wrog¹ jednostkê. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET
Uleczenie	Uleczenie	2	 	x	 	 	5	4	4	5	7	10	10	20	30	10	10	5	2	5	5	3	7	5	4	4	4	4	"{Uleczenie}

Usuwa dzia³anie wszystkich negatywnych zaklêæ oraz regeneruje (10 + 7 x moc) punktów ¿ycia wybranego oddzia³u.
"	"{Uleczenie}
{Poziom podstawowy}

Usuwa dzia³anie wszystkich negatywnych zaklêæ oraz regeneruje (10 + 7 x moc) punktów ¿ycia wybranego oddzia³u.
"	"{Uleczenie}
{Poziom zaawansowany}

Usuwa dzia³anie wszystkich negatywnych zaklêæ oraz regeneruje (20 + 7 x moc) punktów ¿ycia wybranego oddzia³u.
"	"{Uleczenie}
{Poziom eksperta}

Usuwa dzia³anie wszystkich negatywnych zaklêæ oraz regeneruje (30 + 7 x moc) punktów ¿ycia wybranego oddzia³u.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Wskrzeszenie	Wskrzeszenie	5	x	 	 	 	22	20	20	20	50	40	40	80	160	0	20	15	15	0	10	0	0	5	50	50	60	120	"{Wskrzeszenie}

Tymczasowo wskrzesza (40 + 50 x moc) punktów ¿ycia ¿yj¹cych oddzia³ów poleglych w bitwie.
"	"{Wskrzeszenie}
{Poziom podstawowy}

Tymczasowo wskrzesza (40 + 50 x moc) punktów ¿ycia ¿yj¹cych oddzia³ów poleglych w bitwie.
"	"{Wskrzeszenie}
{Poziom zaawansowany}

Wskrzesza (80 + 50 x moc) punktów ¿ycia ¿yj¹cych oddzia³ów poleglych w bitwie.
"	"{Wskrzeszenie}
{Poziom eksperta}

Wskrzesza (160 + 50 x moc) punktów ¿ycia ¿yj¹cych oddzia³ów poleglych w bitwie.
"	 COMBAT_SPELL|CREATURE_TARGET
O¿ywienie	O¿ywienie	5	x	 	 	 	24	20	20	20	50	30	30	60	160	0	0	0	0	40	0	0	0	0	60	60	60	120	"{O¿ywienie}

O¿ywia (30 + 50 x moc) punktów ¿ycia nieumar³ych oddzia³ów poleglych w bitwie.
"	"{O¿ywienie}
{Poziom podstawowy}

O¿ywia (30 + 50 x moc) punktów ¿ycia nieumar³ych oddzia³ów poleglych w bitwie.
"	"{O¿ywienie}
{Poziom zaawansowany}

O¿ywia (60 + 50 x moc) punktów ¿ycia nieumar³ych oddzia³ów poleglych w bitwie.
"	"{O¿ywienie}
{Poziom eksperta}

O¿ywia (160 + 50 x moc) punktów ¿ycia nieumar³ych oddzia³ów poleglych w bitwie.
"	 COMBAT_SPELL|CREATURE_TARGET
Ofiara	Ofiara	2	 	 	x	 	8	6	6	6	1	3	3	6	10	0	0	0	15	4	10	5	5	0	1	1	1	1	"{Ofiara}

Wskazany oddzia³ zostanie wskrzeszony a kolejny wybrany - unicestwiony. Iloœæ wskrzeszonych punktów ¿ycia wynosi ((3 + moc + iloœæ punktów ¿ycia poœwiêconej istoty) x iloœæ poœwiêconych istot).
"	"{Ofiara}
{Poziom podstawowy}

Wskazany oddzia³ zostanie wskrzeszony a kolejny wybrany - unicestwiony. Iloœæ wskrzeszonych punktów ¿ycia wynosi ((3 + moc + iloœæ punktów ¿ycia poœwiêconej istoty) x iloœæ poœwiêconych istot).
"	"{Ofiara}
{Poziom zaawansowany}

Wskazany oddzia³ zostanie wskrzeszony a kolejny wybrany - unicestwiony. Iloœæ wskrzeszonych punktów ¿ycia wynosi ((6 + moc + iloœæ punktów ¿ycia poœwiêconej istoty) x iloœæ poœwiêconych istot).
"	"{Ofiara}
{Poziom eksperta}

Wskazany oddzia³ zostanie wskrzeszony a kolejny wybrany - unicestwiony. Iloœæ wskrzeszonych punktów ¿ycia wynosi ((10 + moc + iloœæ punktów ¿ycia poœwiêconej istoty) x iloœæ poœwiêconych istot).
"	 COMBAT_SPELL|CREATURE_TARGET
B³ogos³awieñstwo	B³ogos³awieñstwo	2	 	x	 	 	5	4	4	6	0	0	0	1	1	5	5	5	0	0	3	5	5	5	10	10	11	11	"{B³ogos³awieñstwo}

Wskazany sojuszniczy oddzia³ zadaje maksymaln¹ iloœæ obra¿eñ. Usuwa efekt kl¹twy. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{B³ogos³awieñstwo}
{Poziom podstawowy}

Wskazany sojuszniczy oddzia³ zadaje maksymaln¹ iloœæ obra¿eñ. Usuwa efekt kl¹twy. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{B³ogos³awieñstwo}
{Poziom zaawansowany}

Obra¿enia bazowe wskazanego sojuszniczego oddzia³u zostaj¹ zwiêkszone o 1, a obra¿enia zadawane zostaj¹ zmaksymalizowane. Usuwa efekt kl¹twy. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{B³ogos³awieñstwo}
{Poziom eksperta}

Obra¿enia bazowe wszystkich sojuszniczych oddzia³ów zostaj¹ zwiêkszone o 1, a obra¿enia zadawane zostaj¹ zmaksymalizowane. Usuwa efekt kl¹twy. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Kl¹twa	Kl¹twa	2	 		x	 	5	4	4	6	0	0	0	1	1	0	0	5	8	5	5	0	0	0	10	10	11	11	"{Kl¹twa}

Wskazany wrogi oddzia³ zadaje minimaln¹ iloœæ obra¿eñ. Usuwa efekt b³ogos³awieñstwa. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Kl¹twa}
{Poziom podstawowy}

Wskazany wrogi oddzia³ zadaje minimaln¹ iloœæ obra¿eñ. Usuwa efekt b³ogos³awieñstwa. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Kl¹twa}
{Poziom zaawansowany}

Obra¿enia bazowe wskazanego wrogiego oddzia³u zostaj¹ obni¿one o 1, a obra¿enia zadawane zredukowane s¹ do minimum. Usuwa efekt b³ogos³awieñstwa. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Kl¹twa}
{Poziom eksperta}

Obra¿enia bazowe wszystkich wrogich oddzia³ów zostaj¹ obni¿one o 1, a obra¿enia zadawane zredukowane s¹ do minimum. Usuwa efekt b³ogos³awieñstwa. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
¯¹dza krwi	¯¹dza krwi	2	 	 	x	 	5	4	4	5	0	4	4	6	6	0	0	0	10	0	3	15	3	0	7	7	15	15	"{¯¹dza krwi}

Czar umys³u. Zwiêksza parametr ataku wybranego przyjaznego oddzia³u o 4 punkty (dotyczy tylko walki w zwarciu). Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{¯¹dza krwi}
{Poziom podstawowy}

Czar umys³u. Zwiêksza parametr ataku wybranego przyjaznego oddzia³u o 4 punkty (dotyczy tylko walki w zwarciu). Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{¯¹dza krwi}
{Poziom zaawansowany}

Czar umys³u. Zwiêksza parametr ataku wybranego przyjaznego oddzia³u o 6 punktów (dotyczy tylko walki w zwarciu). Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{¯¹dza krwi}
{Poziom eksperta}

Czar umys³u. Zwiêksza parametr ataku wszystkich przyjaznych oddzia³ów o 6 punktów (dotyczy tylko walki w zwarciu). Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Precyzja	Precyzja	2	 	 	 	x	5	4	4	4	0	4	4	6	6	5	5	5	3	3	3	3	4	5	7	7	15	15	"{Precyzja}

Zwiêksza parametr ataku wybranego przyjaznego oddzia³u ³uczniczego o 4 punkty (dotyczy tylko ataków dystansowych). Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Precyzja}
{Poziom podstawowy}

Zwiêksza parametr ataku wybranego przyjaznego oddzia³u ³uczniczego o 4 punkty (dotyczy tylko ataków dystansowych). Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Precyzja}
{Poziom zaawansowany}

Zwiêksza parametr ataku wybranego przyjaznego oddzia³u ³uczniczego o 6 punktów (dotyczy tylko ataków dystansowych). Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Precyzja}
{Poziom eksperta}

Zwiêksza parametr ataku wszystkich przyjaznych oddzia³ów ³uczniczych o 6 punktów (dotyczy tylko ataków dystansowych). Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Os³abienie	Os³abienie	2	 	x	 	 	5	4	4	6	0	4	4	6	6	5	5	5	3	3	3	5	4	5	7	7	15	15	"{Os³abienie}

Zmniejsza parametr ataku wskazanego wrogiego oddzia³u o 4 punkty. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Os³abienie}
{Poziom podstawowy}

Zmniejsza parametr ataku wskazanego wrogiego oddzia³u o 4 punkty. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Os³abienie}
{Poziom zaawansowany}

Zmniejsza parametr ataku wskazanego wrogiego oddzia³u o 6 punktów. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Os³abienie}
{Poziom eksperta}

Zmniejsza parametr ataku wszystkich wrogich oddzia³ów o 6 punktów. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Kamienna skóra	Kamienna skóra	2	x	 	 	 	5	4	4	5	0	4	4	6	6	5	10	5	3	3	3	5	5	5	7	7	15	15	"{Kamienna skóra}

Zwiêksza parametr obrony wybranego przyjaznego oddzia³u o 4 punkty. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Kamienna skóra}
{Poziom podstawowy}

Zwiêksza parametr obrony wybranego przyjaznego oddzia³u o 4 punkty. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Kamienna skóra}
{Poziom zaawansowany}

Zwiêksza parametr obrony wybranego przyjaznego oddzia³u o 6 punktów. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Kamienna skóra}
{Poziom eksperta}

Zwiêksza parametr obrony wszystkich przyjaznych oddzia³ów o 6 punktów. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Promieñ os³abienia	Prom. Os³abienia	2	 	 	 	x	6	5	5	5	0	4	4	5	6	5	5	5	3	3	3	4	4	5	7	7	15	15	"{Promieñ os³abienia}

Zmniejsza parametr obrony wybranego wrogiego oddzia³u o 4 punkty. Czar mo¿e byæ rzucany wielokrotnie na ten sam oddzia³ - efekt kumuluje siê i trwa do koñca bitwy."	"{Promieñ os³abienia}
{Poziom podstawowy}

Zmniejsza parametr obrony wybranego wrogiego oddzia³u o 4 punkty. Czar mo¿e byæ rzucany wielokrotnie na ten sam oddzia³ - efekt kumuluje siê i trwa do koñca bitwy.
"	"{Promieñ os³abienia}
{Poziom zaawansowany}

Zmniejsza parametr obrony wybranego wrogiego oddzia³u o 5 punkty. Czar mo¿e byæ rzucany wielokrotnie na ten sam oddzia³ - efekt kumuluje siê i trwa do koñca bitwy.
"	"{Promieñ os³abienia}
{Poziom eksperta}

Zmniejsza parametr obrony wybranego wrogiego oddzia³u o 5 punktów. Czar mo¿e byæ rzucany wielokrotnie na ten sam oddzia³ - efekt kumuluje siê i trwa do koñca bitwy.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Modlitwa	Modlitwa	4	 	x	 	 	8	6	6	10	0	2	2	4	4	10	5	5	0	0	0	0	0	4	8	8	16	16	"{Modlitwa}

Zwiêksza atak, obronê i szybkoœæ wybranego sojuszniczego oddzia³u o 2 punkty. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Modlitwa}
{Poziom podstawowy}

Zwiêksza atak, obronê i szybkoœæ wybranego sojuszniczego oddzia³u o 2 punkty. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Modlitwa}
{Poziom zaawansowany}

Zwiêksza atak, obronê i szybkoœæ wybranego sojuszniczego oddzia³u o 4 punkty. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Modlitwa}
{Poziom eksperta}

Zwiêksza atak, obronê i szybkoœæ wszystkich sojuszniczych oddzia³ów o 4 punkty. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Radoœæ	Radoœæ	1	 	x	 	 	3	2	2	4	0	2	2	3	3	10	10	5	5	0	5	15	5	0	1	1	2	2	"{Radoœæ}

Czar umys³u. Zwiêksza morale wskazanego przyjaznego oddzia³u o 1. 
"	"{Radoœæ}
{Poziom podstawowy}

Czar umys³u. Zwiêksza morale wskazanego przyjaznego oddzia³u o 2. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Radoœæ}
{Poziom zaawansowany}

Czar umys³u. Zwiêksza morale wskazanego przyjaznego oddzia³u o 3. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Radoœæ}
{Poziom eksperta}

Czar umys³u. Zwiêksza morale wszystkich przyjaznych oddzia³ów o 3. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Przygnêbienie	Przygnêbienie	2	x	 	 	 	4	3	3	6	0	2	3	3	3	5	5	5	5	5	3	5	5	5	1	1	2	2	"{Przygnêbienie}

Czar umys³u. Zmniejsza morale wrogiego oddzia³u o 2. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Przygnêbienie}
{Poziom podstawowy}

Czar umys³u. Zmniejsza morale wrogiego oddzia³u o 2. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Przygnêbienie}
{Poziom zaawansowany}

Czar umys³u. Zmniejsza morale wrogiego oddzia³u o 3. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Przygnêbienie}
{Poziom eksperta}

Czar umys³u. Zmniejsza morale wszystkich wrogich oddzia³ów o 3. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Fortuna	Fortuna	1	 	 	 	x	2	1	1	2	0	2	2	3	3	5	10	5	5	5	5	5	5	5	1	1	2	2	"{Fortuna}

Zwiêksza szczêœcie wskazanego przyjaznego oddzia³u o 2. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Fortuna}
{Poziom podstawowy}

Zwiêksza szczêœcie wskazanego przyjaznego oddzia³u o 2. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Fortuna}
{Poziom zaawansowany}

Zwiêksza szczêœcie wskazanego przyjaznego oddzia³u o 3. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Fortuna}
{Poziom eksperta}

Zwiêksza szczêœcie wszystkich przyjaznych oddzia³ów o 3. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
